text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
Sorry! Pasted the wrong readings into the email! #DSE16,FALSE,0,NA,2/8/2016 9:54,FALSE,NA,6.96558E+17,NA,<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>,learng00d,0,FALSE,FALSE,NA,NA,
Learning analytics should involve people not just computers. Interpretation and communication will lead to better practices. #DSE16,FALSE,0,NA,2/8/2016 8:00,FALSE,NA,6.96529E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,Glorf_Glorf,0,FALSE,FALSE,NA,NA,
#dse16 I think we can measure some aspects of learning but not all &amp; learning is a relatively permanent change.,FALSE,1,NA,2/8/2016 3:14,FALSE,NA,6.96457E+17,NA,<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>,sbr341,0,FALSE,FALSE,NA,NA,
Should we be reading Clow (2014) or the read/comment under Week 2? Did I miss a week? #DSE16 #IDKWGO,FALSE,0,NA,2/8/2016 2:05,FALSE,NA,6.9644E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,Glorf_Glorf,0,FALSE,FALSE,NA,NA,
#digitalsignage #DOOH #dse16 Check out this article on the Brawn Consulting and DSEG web site.https://t.co/mfPQPgbLSW,FALSE,0,NA,2/6/2016 2:07,FALSE,NA,6.95715E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,davehaar,0,FALSE,FALSE,NA,NA,
@linglingya2 #DSE16 140 words are not enough for questions.,FALSE,0,linglingya2,2/5/2016 5:04,FALSE,6.95123E+17,6.95397E+17,958006826,<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>,linglingya2,0,FALSE,FALSE,NA,NA,
only when parents know how their private date would contribute to improving kid's education could they feel comfortable provide info #DSE16,FALSE,0,NA,2/5/2016 4:07,FALSE,NA,6.95383E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,hsiaoanwu,0,FALSE,FALSE,NA,NA,
I like the idea of oneâ€™s own 10-year data profile. What about DOE software that families use at home to create readouts schools need? #DSE16,FALSE,0,NA,2/5/2016 4:04,FALSE,NA,6.95382E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,dat_sci_student,0,FALSE,FALSE,NA,NA,
"For many points of data, why couldnâ€™t de-identified data provide the benefits school systems need and the privacy parents want? #DSE16",FALSE,1,NA,2/5/2016 4:03,FALSE,NA,6.95382E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,dat_sci_student,0,FALSE,FALSE,NA,NA,
\Educate\ parents means make them understand how data analysis works- how their info would be rightfully stored and analyzed #DSE16,FALSE,0,NA,2/5/2016 4:03,FALSE,NA,6.95382E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,hsiaoanwu,0,FALSE,FALSE,NA,NA,
Comments suggesting the opposite position by frightened parents reminded us that educate parents is crucial to collect useful data #DSE16,FALSE,1,NA,2/5/2016 3:58,FALSE,NA,6.95381E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,hsiaoanwu,0,FALSE,FALSE,NA,NA,
#DSE16 #educational_data í ½í±»í ½í±» https://t.co/Z2C9BgzNDN,FALSE,0,NA,2/5/2016 3:55,FALSE,NA,6.9538E+17,NA,<a href=\http://itunes.apple.com/us/app/twitter/id409789998?mt=12\ rel=\nofollow\>Twitter for Mac</a>,pointhan,0,FALSE,FALSE,NA,NA,
"Through data analysis, educator's might gain more senses about modifing their delivering ways and make more customized teaching plan #DSE16",FALSE,0,NA,2/5/2016 3:39,FALSE,NA,6.95376E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,hsiaoanwu,0,FALSE,FALSE,NA,NA,
I agree with the argument that \Opting Out of Student Data Collection Isnâ€™t the Solution\#DSE16,FALSE,0,NA,2/5/2016 3:33,FALSE,NA,6.95375E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,hsiaoanwu,0,FALSE,FALSE,NA,NA,
"I thought maybe it is not enough telling parents how information can be abused, but explaining how they can be protected as well? #DSE16",FALSE,0,NA,2/5/2016 3:08,FALSE,NA,6.95368E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,RuiSuYC,0,FALSE,FALSE,NA,NA,
