"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#DSE16 sounds like personalized learning is to education what gluten-free is to diet. Great if you need it, fool's errand if you don't.",FALSE,1,NA,2016-02-25 01:18:22,FALSE,NA,"702663894989467649",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","EllenModlin",0,FALSE,FALSE,NA,NA
"Im all for personalized learning, but mediated by teachers who know what they're doing. Article was a bit slanted against it, imo. #DSE16",FALSE,0,NA,2016-02-24 22:06:58,FALSE,NA,"702615731322687488",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","yo_conno",0,FALSE,FALSE,NA,NA
"#dse16 I was over positive about AltSchool last semester; now I start to think what's best approach for datausing and personalized learning.",FALSE,0,NA,2016-02-24 20:48:57,FALSE,NA,"702596096799940609",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","maggiilee",0,FALSE,FALSE,NA,NA
"Standardized teaching? Personalized assessments?  Social learning environments? Adaptive systems? #howtodoitall?#DSE16",FALSE,0,NA,2016-02-24 18:58:46,FALSE,NA,"702568366037463041",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","bhavana_budithi",0,FALSE,FALSE,NA,NA
"RT @PeerlessAV: You won't want to miss our webinar tomorrow! @BMcClim &amp; @NEC_RV talk #ISE2016 &amp; what to expect at #DSE16. Register: https:/…",FALSE,0,NA,2016-02-24 18:54:16,FALSE,NA,"702567235274067968",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","DailyDOOH",2,TRUE,FALSE,NA,NA
"RT @PeerlessAV: You won't want to miss our webinar tomorrow! @BMcClim &amp; @NEC_RV talk #ISE2016 &amp; what to expect at #DSE16. Register: https:/…",FALSE,0,NA,2016-02-24 18:50:50,FALSE,NA,"702566369582292994",NA,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","TuckerTues",2,TRUE,FALSE,NA,NA
"I think freedom of learning customization should gr8ly depend on the education level of the learners (newbies vs. experts) #DSE16",FALSE,0,NA,2016-02-24 18:36:32,FALSE,NA,"702562770148061184",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","bhavana_budithi",0,FALSE,FALSE,NA,NA
"You won't want to miss our webinar tomorrow! @BMcClim &amp; @NEC_RV talk #ISE2016 &amp; what to expect at #DSE16. Register: https://t.co/pA6ejxwX4D",FALSE,1,NA,2016-02-24 18:35:23,FALSE,NA,"702562483207335936",NA,"<a href=\"http://www.hootsuite.com\" rel=\"nofollow\">Hootsuite</a>","PeerlessAV",2,FALSE,FALSE,NA,NA
"RT @Atlona: RT @AVTechnologyMag: Ride the #digitalsignage wave all the way from #ISE16 to #DSE16 with a quick webinar https://t.co/BX9EkL4h…",FALSE,0,NA,2016-02-23 00:11:14,FALSE,NA,"701922225964732416",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","DTools",1,TRUE,FALSE,NA,NA
"RT @AVTechnologyMag: Ride the #digitalsignage wave all the way from #ISE16 to #DSE16 with a quick webinar https://t.co/BX9EkL4hkH",FALSE,1,NA,2016-02-22 23:30:52,FALSE,NA,"701912066613972992",NA,"<a href=\"http://www.hootsuite.com\" rel=\"nofollow\">Hootsuite</a>","Atlona",1,FALSE,FALSE,NA,NA
